CityId,TARGET_FID,FieldId,CityName,DistrictName,CropName,Coef,FieldArea,VarName,VarValue,Utility
16,650,2171,BURSA,BÜYÜK ORHAN,Oat,8.14,27.25,x10,1.0,221.81500000000003
16,650,2172,BURSA,BÜYÜK ORHAN,Bean,5.72,18.1,x32,1.0,103.53200000000001
16,650,2173,BURSA,BÜYÜK ORHAN,Potato,8.66,1.3,x45,1.0,11.258000000000001
16,650,2174,BURSA,BÜYÜK ORHAN,Soybean,10.04,23.16,x59,1.0,232.5264
16,650,2175,BURSA,BÜYÜK ORHAN,Potato,9.37,2.0,x79,1.0,18.74
16,650,2176,BURSA,BÜYÜK ORHAN,Cotton,8.53,8.03,x91,1.0,68.49589999999999
16,650,2177,BURSA,BÜYÜK ORHAN,Oat,7.91,7.17,x112,1.0,56.7147
16,650,2178,BURSA,BÜYÜK ORHAN,Potato,6.14,7.66,x130,1.0,47.032399999999996
16,650,2179,BURSA,BÜYÜK ORHAN,Soybean,7.21,10.17,x144,1.0,73.3257
16,650,2180,BURSA,BÜYÜK ORHAN,Cotton,5.95,21.08,x159,1.0,125.42599999999999
16,790,2181,BURSA,GEMLİK,Canola,8.56,23.42,x183,1.0,200.47520000000003
16,790,2182,BURSA,GEMLİK,Sugarbeet,7.12,23.25,x194,1.0,165.54
16,790,2183,BURSA,GEMLİK,Oat,10.79,24.71,x214,1.0,266.6209
16,790,2184,BURSA,GEMLİK,Wheat,6.77,13.41,x221,1.0,90.78569999999999
16,790,2185,BURSA,GEMLİK,Rice,8.49,4.47,x241,1.0,37.9503
16,790,2186,BURSA,GEMLİK,Oat,11.12,19.29,x265,1.0,214.5048
16,790,2187,BURSA,GEMLİK,Potato,7.73,23.47,x283,1.0,181.4231
16,790,2188,BURSA,GEMLİK,Tomato,7.59,4.1,x305,1.0,31.118999999999996
16,790,2189,BURSA,GEMLİK,Peanut,9.18,7.9,x315,1.0,72.522
16,790,2190,BURSA,GEMLİK,Soybean,6.11,16.83,x331,1.0,102.8313
16,745,2191,BURSA,GÜRSU,Sugarbeet,8.6,15.37,x347,1.0,132.182
16,745,2192,BURSA,GÜRSU,Tomato,6.6,16.92,x373,1.0,111.67200000000001
16,745,2193,BURSA,GÜRSU,Rice,5.19,11.61,x377,1.0,60.255900000000004
16,745,2194,BURSA,GÜRSU,Chickpea,10.27,6.69,x396,1.0,68.7063
16,745,2195,BURSA,GÜRSU,Wheat,8.14,20.18,x408,1.0,164.26520000000002
16,745,2196,BURSA,GÜRSU,Onion,7.16,5.78,x439,1.0,41.384800000000006
16,745,2197,BURSA,GÜRSU,Peanut,8.86,3.23,x451,1.0,28.6178
16,745,2198,BURSA,GÜRSU,Sunflower,10.09,21.84,x461,1.0,220.3656
16,745,2199,BURSA,GÜRSU,Wheat,8.08,18.16,x476,1.0,146.7328
16,745,2200,BURSA,GÜRSU,Lentil,8.91,7.62,x497,1.0,67.8942
16,637,2201,BURSA,HARMANCIK,Bean,6.79,22.4,x525,1.0,152.096
16,637,2202,BURSA,HARMANCIK,Canola,7.01,9.65,x540,1.0,67.6465
16,637,2203,BURSA,HARMANCIK,Chickpea,6.85,12.68,x549,1.0,86.85799999999999
16,637,2204,BURSA,HARMANCIK,Oat,5.66,12.16,x571,1.0,68.82560000000001
16,637,2205,BURSA,HARMANCIK,Lentil,8.28,14.89,x582,1.0,123.2892
16,637,2206,BURSA,HARMANCIK,Cotton,7.61,20.84,x601,1.0,158.5924
16,637,2207,BURSA,HARMANCIK,Tomato,8.42,25.63,x628,1.0,215.8046
16,637,2208,BURSA,HARMANCIK,Soybean,10.8,20.15,x637,1.0,217.62
16,637,2209,BURSA,HARMANCIK,Canola,6.61,33.33,x659,1.0,220.3113
16,637,2210,BURSA,HARMANCIK,Corn,8.55,11.83,x675,1.0,101.1465
16,719,2211,BURSA,İNEGÖL,Peanut,4.84,18.67,x689,1.0,90.36280000000001
16,719,2212,BURSA,İNEGÖL,Potato,7.56,17.85,x708,1.0,134.946
16,719,2213,BURSA,İNEGÖL,Potato,7.27,19.18,x725,1.0,139.43859999999998
16,719,2214,BURSA,İNEGÖL,Barley,6.79,22.58,x732,1.0,153.3182
16,719,2215,BURSA,İNEGÖL,Peanut,7.28,17.99,x757,1.0,130.9672
16,719,2216,BURSA,İNEGÖL,Soybean,7.74,3.99,x773,1.0,30.882600000000004
16,719,2217,BURSA,İNEGÖL,Lentil,6.01,31.94,x786,1.0,191.9594
16,719,2218,BURSA,İNEGÖL,Bean,5.64,14.41,x814,1.0,81.27239999999999
16,719,2219,BURSA,İNEGÖL,Canola,6.16,0.26,x829,1.0,1.6016000000000001
16,719,2220,BURSA,İNEGÖL,Rice,7.83,8.01,x836,1.0,62.7183
16,794,2221,BURSA,İZNİK,Barley,8.75,20.44,x851,1.0,178.85000000000002
16,794,2222,BURSA,İZNİK,Wheat,10.01,32.9,x867,1.0,329.32899999999995
16,794,2223,BURSA,İZNİK,Cotton,6.89,2.0,x890,1.0,13.78
16,794,2224,BURSA,İZNİK,Peanut,7.21,12.22,x910,1.0,88.1062
16,794,2225,BURSA,İZNİK,Bean,9.11,23.68,x933,1.0,215.7248
16,794,2226,BURSA,İZNİK,Bean,7.85,17.86,x950,1.0,140.201
16,794,2227,BURSA,İZNİK,Onion,7.65,31.36,x966,1.0,239.904
16,794,2228,BURSA,İZNİK,Cotton,7.49,17.4,x975,1.0,130.326
16,794,2229,BURSA,İZNİK,Peanut,7.99,5.0,x995,1.0,39.95
16,794,2230,BURSA,İZNİK,Rice,6.84,34.76,x1006,1.0,237.7584
16,766,2231,BURSA,KARACABEY,Peanut,6.05,28.71,x1029,1.0,173.6955
16,766,2232,BURSA,KARACABEY,Lentil,6.12,8.14,x1041,1.0,49.81680000000001
16,766,2233,BURSA,KARACABEY,Sunflower,6.27,10.92,x1056,1.0,68.46839999999999
16,766,2234,BURSA,KARACABEY,Wheat,5.07,34.0,x1071,1.0,172.38
16,766,2235,BURSA,KARACABEY,Chickpea,5.95,12.85,x1093,1.0,76.4575
16,766,2236,BURSA,KARACABEY,Bean,8.09,19.2,x1120,1.0,155.328
16,766,2237,BURSA,KARACABEY,Barley,7.01,10.38,x1123,1.0,72.7638
16,766,2238,BURSA,KARACABEY,Corn,7.4,23.55,x1151,1.0,174.27
16,766,2239,BURSA,KARACABEY,Canola,5.47,18.62,x1169,1.0,101.8514
16,766,2240,BURSA,KARACABEY,Oat,6.35,2.01,x1183,1.0,12.763499999999999
16,686,2241,BURSA,KELES,Sunflower,6.1,17.2,x1192,1.0,104.91999999999999
16,686,2242,BURSA,KELES,Barley,11.71,33.34,x1208,1.0,390.41140000000007
16,686,2243,BURSA,KELES,Peanut,8.59,18.79,x1233,1.0,161.40609999999998
16,686,2244,BURSA,KELES,Rice,7.6,32.52,x1244,1.0,247.15200000000002
16,686,2245,BURSA,KELES,Sunflower,4.84,15.69,x1260,1.0,75.9396
16,686,2246,BURSA,KELES,Wheat,10.56,4.77,x1275,1.0,50.371199999999995
16,686,2247,BURSA,KELES,Wheat,7.72,15.2,x1292,1.0,117.344
16,686,2248,BURSA,KELES,Corn,6.24,23.83,x1321,1.0,148.6992
16,686,2249,BURSA,KELES,Barley,9.64,16.13,x1327,1.0,155.4932
16,686,2250,BURSA,KELES,Bean,6.65,4.36,x1358,1.0,28.994000000000003
16,744,2251,BURSA,KESTEL,Chickpea,7.49,21.37,x1365,1.0,160.06130000000002
16,744,2252,BURSA,KESTEL,Oat,7.27,24.73,x1387,1.0,179.78709999999998
16,744,2253,BURSA,KESTEL,Rice,5.7,18.61,x1397,1.0,106.077
16,744,2254,BURSA,KESTEL,Wheat,7.65,11.33,x1411,1.0,86.67450000000001
16,744,2255,BURSA,KESTEL,Rice,7.93,1.0,x1431,1.0,7.93
16,744,2256,BURSA,KESTEL,Barley,5.96,21.86,x1446,1.0,130.2856
16,744,2257,BURSA,KESTEL,Rice,5.79,25.22,x1465,1.0,146.0238
16,744,2258,BURSA,KESTEL,Sunflower,8.88,3.07,x1481,1.0,27.2616
16,744,2259,BURSA,KESTEL,Canola,7.04,4.0,x1509,1.0,28.16
16,744,2260,BURSA,KESTEL,Wheat,6.45,50.07,x1513,1.0,322.9515
16,760,2261,BURSA,MUDANYA,Sugarbeet,8.28,10.63,x1537,1.0,88.0164
16,760,2262,BURSA,MUDANYA,Potato,6.27,45.75,x1558,1.0,286.85249999999996
16,760,2263,BURSA,MUDANYA,Lentil,4.91,2.0,x1568,1.0,9.82
16,760,2264,BURSA,MUDANYA,Chickpea,4.77,12.17,x1586,1.0,58.05089999999999
16,760,2265,BURSA,MUDANYA,Rice,8.26,4.0,x1601,1.0,33.04
16,760,2266,BURSA,MUDANYA,Onion,7.83,22.13,x1629,1.0,173.2779
16,760,2267,BURSA,MUDANYA,Lentil,7.6,16.22,x1636,1.0,123.27199999999999
16,760,2268,BURSA,MUDANYA,Peanut,5.46,4.0,x1658,1.0,21.84
16,760,2269,BURSA,MUDANYA,Potato,6.61,9.63,x1677,1.0,63.654300000000006
16,760,2270,BURSA,MUDANYA,Potato,6.19,16.92,x1694,1.0,104.73480000000002
16,727,2271,BURSA,MUSTAFAKEMALPAŞA,Canola,6.72,10.78,x1713,1.0,72.4416
16,727,2272,BURSA,MUSTAFAKEMALPAŞA,Wheat,7.59,32.31,x1717,1.0,245.2329
16,727,2273,BURSA,MUSTAFAKEMALPAŞA,Cotton,6.74,12.82,x1740,1.0,86.4068
16,727,2274,BURSA,MUSTAFAKEMALPAŞA,Onion,6.84,8.48,x1765,1.0,58.0032
16,727,2275,BURSA,MUSTAFAKEMALPAŞA,Tomato,7.73,4.0,x1784,1.0,30.92
16,727,2276,BURSA,MUSTAFAKEMALPAŞA,Sugarbeet,8.83,19.22,x1792,1.0,169.71259999999998
16,727,2277,BURSA,MUSTAFAKEMALPAŞA,Tomato,6.95,12.52,x1818,1.0,87.014
16,727,2278,BURSA,MUSTAFAKEMALPAŞA,Bean,6.97,4.94,x1834,1.0,34.4318
16,727,2279,BURSA,MUSTAFAKEMALPAŞA,Oat,6.3,23.95,x1846,1.0,150.885
16,727,2280,BURSA,MUSTAFAKEMALPAŞA,Tomato,5.01,2.89,x1869,1.0,14.4789
16,742,2281,BURSA,NİLÜFER,Rice,12.44,14.43,x1873,1.0,179.5092
16,742,2282,BURSA,NİLÜFER,Soybean,7.02,25.72,x1895,1.0,180.5544
16,742,2283,BURSA,NİLÜFER,Canola,6.01,20.01,x1917,1.0,120.26010000000001
16,742,2284,BURSA,NİLÜFER,Cotton,12.49,24.09,x1927,1.0,300.8841
16,742,2285,BURSA,NİLÜFER,Lentil,8.24,19.65,x1942,1.0,161.916
16,742,2286,BURSA,NİLÜFER,Barley,8.29,16.97,x1956,1.0,140.68129999999996
16,742,2287,BURSA,NİLÜFER,Tomato,5.61,31.42,x1988,1.0,176.26620000000003
16,742,2288,BURSA,NİLÜFER,Potato,8.85,19.06,x2000,1.0,168.68099999999998
16,742,2289,BURSA,NİLÜFER,Potato,8.72,1.76,x2017,1.0,15.3472
16,742,2290,BURSA,NİLÜFER,Wheat,7.87,12.33,x2023,1.0,97.0371
16,699,2291,BURSA,ORHANELİ,Onion,10.9,22.94,x2054,1.0,250.04600000000002
16,699,2292,BURSA,ORHANELİ,Canola,7.47,10.19,x2070,1.0,76.1193
16,699,2293,BURSA,ORHANELİ,Barley,4.82,36.26,x2075,1.0,174.7732
16,699,2294,BURSA,ORHANELİ,Potato,7.05,9.03,x2102,1.0,63.6615
16,699,2295,BURSA,ORHANELİ,Sugarbeet,6.35,18.77,x2115,1.0,119.1895
16,699,2296,BURSA,ORHANELİ,Rice,8.7,1.0,x2128,1.0,8.7
16,699,2297,BURSA,ORHANELİ,Cotton,5.89,22.81,x2148,1.0,134.3509
16,699,2298,BURSA,ORHANELİ,Onion,7.98,22.12,x2173,1.0,176.51760000000002
16,699,2299,BURSA,ORHANELİ,Barley,6.6,3.0,x2177,1.0,19.799999999999997
16,699,2300,BURSA,ORHANELİ,Canola,8.15,12.26,x2206,1.0,99.919
16,787,2301,BURSA,ORHANGAZİ,Barley,6.32,12.68,x2211,1.0,80.1376
16,787,2302,BURSA,ORHANGAZİ,Sugarbeet,5.64,8.31,x2234,1.0,46.8684
16,787,2303,BURSA,ORHANGAZİ,Sugarbeet,9.23,18.13,x2251,1.0,167.3399
16,787,2304,BURSA,ORHANGAZİ,Canola,5.53,38.2,x2274,1.0,211.24600000000004
16,787,2305,BURSA,ORHANGAZİ,Onion,7.83,16.52,x2292,1.0,129.3516
16,787,2306,BURSA,ORHANGAZİ,Lentil,9.12,13.11,x2299,1.0,119.56319999999998
16,787,2307,BURSA,ORHANGAZİ,Wheat,8.35,2.0,x2312,1.0,16.7
16,787,2308,BURSA,ORHANGAZİ,Chickpea,6.08,7.23,x2334,1.0,43.958400000000005
16,787,2309,BURSA,ORHANGAZİ,Tomato,11.9,29.99,x2362,1.0,356.881
16,787,2310,BURSA,ORHANGAZİ,Peanut,5.8,8.08,x2372,1.0,46.864
16,752,2311,BURSA,OSMANGAZİ,Canola,6.75,19.03,x2393,1.0,128.45250000000001
16,752,2312,BURSA,OSMANGAZİ,Sugarbeet,6.36,2.69,x2404,1.0,17.1084
16,752,2313,BURSA,OSMANGAZİ,Potato,8.88,25.27,x2425,1.0,224.3976
16,752,2314,BURSA,OSMANGAZİ,Cotton,6.24,15.84,x2437,1.0,98.8416
16,752,2315,BURSA,OSMANGAZİ,Soybean,8.05,7.61,x2456,1.0,61.26050000000001
16,752,2316,BURSA,OSMANGAZİ,Barley,6.12,15.02,x2466,1.0,91.9224
16,752,2317,BURSA,OSMANGAZİ,Rice,8.94,12.71,x2485,1.0,113.6274
16,752,2318,BURSA,OSMANGAZİ,Chickpea,5.45,6.59,x2504,1.0,35.9155
16,752,2319,BURSA,OSMANGAZİ,Lentil,8.17,21.84,x2520,1.0,178.4328
16,752,2320,BURSA,OSMANGAZİ,Canola,6.11,16.43,x2546,1.0,100.38730000000001
16,751,2321,BURSA,YENİŞEHİR,Peanut,6.4,5.48,x2559,1.0,35.072
16,751,2322,BURSA,YENİŞEHİR,Corn,6.02,31.19,x2579,1.0,187.7638
16,751,2323,BURSA,YENİŞEHİR,Oat,9.36,22.36,x2594,1.0,209.28959999999998
16,751,2324,BURSA,YENİŞEHİR,Soybean,10.28,38.05,x2609,1.0,391.15399999999994
16,751,2325,BURSA,YENİŞEHİR,Bean,7.27,11.0,x2633,1.0,79.97
16,751,2326,BURSA,YENİŞEHİR,Canola,9.09,27.58,x2648,1.0,250.70219999999998
16,751,2327,BURSA,YENİŞEHİR,Lentil,5.21,12.96,x2656,1.0,67.5216
16,751,2328,BURSA,YENİŞEHİR,Peanut,8.21,1.96,x2678,1.0,16.0916
16,751,2329,BURSA,YENİŞEHİR,Soybean,5.47,16.2,x2694,1.0,88.61399999999999
16,751,2330,BURSA,YENİŞEHİR,Sugarbeet,7.01,7.2,x2710,1.0,50.472
16,728,2331,BURSA,YILDIRIM,Lentil,6.44,11.83,x2724,1.0,76.18520000000001
16,728,2332,BURSA,YILDIRIM,Bean,4.68,20.43,x2752,1.0,95.6124
16,728,2333,BURSA,YILDIRIM,Bean,4.92,21.87,x2769,1.0,107.60040000000001
16,728,2334,BURSA,YILDIRIM,Rice,6.47,13.01,x2774,1.0,84.1747
16,728,2335,BURSA,YILDIRIM,Lentil,6.04,4.63,x2792,1.0,27.9652
16,728,2336,BURSA,YILDIRIM,Chickpea,6.41,15.77,x2810,1.0,101.0857
16,728,2337,BURSA,YILDIRIM,Oat,9.02,22.49,x2832,1.0,202.85979999999998
16,728,2338,BURSA,YILDIRIM,Oat,8.31,16.08,x2849,1.0,133.6248
16,728,2339,BURSA,YILDIRIM,Onion,6.16,9.2,x2870,1.0,56.672
16,728,2340,BURSA,YILDIRIM,Cotton,8.65,26.55,x2879,1.0,229.65750000000003
